Filing Name,Filing Date,Court District,Exchange,Ticker,Sector,Industry,MarketCap,sharesOutstanding,bookValue,fiftyTwoWeekLow,fiftyTwoWeekHigh,averageDailyVolume3Month,fiftyDayAverage,twoHundredDayAverage,Open,Close,High,Low,Volume
"Aspect Medical Systems, Inc.",8/1/01,S.D. New York,NASDAQ,ASPM, Medical Equipment & Supplies, Healthcare,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Morgan Stanley Dean Witter & Co. : Amazon.com, Inc.",8/1/01,S.D. New York,NASDAQ,AMZN, Investment Services, Financial,726161000000.0,484107008.0,57.25,1503.49,833.5,4938420.0,1374.8514,1133.6263,nan,nan,nan,nan,nan
"Morgan Stanley Dean Witter & Co. : eBay, Inc.",8/1/01,S.D. New York,NASDAQ,EBAY, Investment Services, Financial,44207652864.0,1012080000.0,7.836,46.99,31.89,10773135.0,41.005590000000005,37.971016,nan,nan,nan,nan,nan
"CommTouch Software, Ltd.",7/31/01,S.D. New York,NASDAQ,CTCH, Communications Services, Services,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
F5 Networks Inc.,7/31/01,S.D. New York,NASDAQ,FFIV, Computer Networks, Technology,9111535616.0,61844400.0,19.843,149.5,114.63,813330.0,140.88647,126.78166999999999,nan,nan,nan,nan,nan
"FirePond, Inc.",7/31/01,S.D. New York,NASDAQ,FIRE, Software & Programming, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"FreeMarkets, Inc.",7/31/01,S.D. New York,NASDAQ,FMKT, Computer Services, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lante Corporation,7/31/01,S.D. New York,NASDAQ,LNTE, Software & Programming, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Marvell Technology Group, Ltd.",7/31/01,S.D. New York,NASDAQ,MRVL, Semiconductors, Technology,11529908224.0,495910016.0,8.267000000000001,24.22,14.58,8080677.0,22.849117,20.129348999999998,nan,nan,nan,nan,nan
CyberSource Corporation,7/30/01,S.D. New York,NASDAQ,CYBS, Computer Services, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Equinix, Inc.",7/30/01,S.D. New York,NASDAQ,EQIX, Communications Services, Services,30889791488.0,78233696.0,87.211,495.35,361.9,653143.0,431.1347,452.22644,nan,nan,nan,nan,nan
"Handspring, Inc.",7/30/01,S.D. New York,NASDAQ,HAND, Computer Hardware, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
McAfee.com Corporation,7/30/01,S.D. New York,NASDAQ,MCAF, Computer Services, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Netro Corporation,7/30/01,S.D. New York,NASDAQ,NTRO, Communications Equipment, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
OpenTV Corporation,7/30/01,S.D. New York,NASDAQ,OPTV, Software & Programming, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Fairmarket, Inc.",7/27/01,S.D. New York,NASDAQ,FAIM, Business Services, Services,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Global Crossing Ltd.,7/27/01,S.D. New York,NASDAQ,GBLXQ, Communications Services, Services,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LookSmart Ltd.,7/27/01,S.D. New York,NASDAQ,LOOK, Computer Services, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Net2Phone, Inc.",7/27/01,S.D. New York,NASDAQ,NTOP, Communications Services, Services,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Qwest Communications International, Inc.",7/27/01,D. Colorado,New York SE,Q, Communications Services, Services,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RoweCom Inc.,7/27/01,S.D. New York,NASDAQ,ROWE, Business Services, Services,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Avanex Corporation,7/26/01,S.D. New York,NASDAQ,AVNX, Communications Equipment, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Digital Island, Inc.",7/26/01,S.D. New York,NASDAQ,ISLD, Communications Services, Services,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ITXC Corporation,7/26/01,S.D. New York,NASDAQ,ITXC, Communications Services, Services,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Loudeye Technologies, Inc.",7/26/01,S.D. New York,NASDAQ,LOUD, Software & Programming, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Merrill Lynch & Co., Inc. : InfoSpace Inc.",7/26/01,S.D. New York,NASDAQ,INSP, Misc. Financial Services, Financial,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"OTG Software, Inc.",7/26/01,S.D. New York,NASDAQ,OTGS, Software & Programming, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SmartDisk Corporation,7/26/01,S.D. New York,NASDAQ,SMDK, Computer Peripherals, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Vicinity Corporation,7/26/01,S.D. New York,NASDAQ,VCNT, Computer Services, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Autobytel.com, Inc.",7/25/01,S.D. New York,NASDAQ,ABTL, Computer Services, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Bottomline Technologies, Inc.",7/25/01,S.D. New York,NASDAQ,EPAY, Software & Programming, Technology,1529180032.0,40680500.0,7.381,39.5,21.52,309987.0,36.602646,33.406086,nan,nan,nan,nan,nan
"Concur Technologies, Inc.",7/25/01,S.D. New York,NASDAQ,CNQR, Software & Programming, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
iBeam Broadcasting Corporation,7/25/01,S.D. New York,NASDAQ,IBEM, Computer Services, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Kana Software, Inc.",7/25/01,S.D. New York,NASDAQ,KANA, Software & Programming, Technology,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
